Source,sic_supplier,comp_supplier,comp_customer,sic_customer,Target,year3,conm_customer,conm_supplier,salecs_supplier,sales_supplier,sales_customer,Weight,Type
8838,1311,PYRAMIDOIL,CHEVRON,2911,2991,1992,CHEVRON CP,PYRAMID OIL CO,.5370000004768372,7.000999987125397,70709,.076703325,Directed
8838,1311,PYRAMIDOIL,TEXACO,2911,10482,1992,TEXACO INC,PYRAMID OIL CO,.8420000076293945,7.000999987125397,72958,.12026853,Directed
9022,1311,GENENERRESOURCETECH,CHEVRON,2911,2991,1992,CHEVRON CP,GENERAL ENER RESOURCE & TECH,.5219999998807907,1.146999999880791,66371,.45510027,Directed
9406,1311,SANTAFESNYDER,TEXACO,2911,10482,1992,TEXACO INC,SANTA FE SNYDER CORP,102.7000007629395,807.3000030517578,72958,.12721418,Directed
9505,1311,COLORADOWYOMINGRESERVE,EXXON,2911,4503,1992,EXXON CORP,COLORADO WYOMING RESERVE CO,.0099999997764826,.2160000000149012,97825,.046296295,Directed
9505,1311,COLORADOWYOMINGRESERVE,TEXACO,2911,10482,1992,TEXACO INC,COLORADO WYOMING RESERVE CO,.025000000372529,.2160000000149012,33245,.11574074,Directed
9859,1311,SOUTHERNMINERAL,EXXON,2911,4503,1992,EXXON CORP,SOUTHERN MINERAL CORP,.9179999828338623,7.559000045061111,303832,.12144464,Directed
10148,1311,SUMMITPETROLEUM,AMOCO,2911,15257,1992,AMOCO CO,SUMMIT PETROLEUM CORP,.3449999988079071,1.968999996781349,143967,.17521584,Directed
13130,1311,DIAMONDSHAMRCKOFFSHOR,AMOCO,2911,15257,1992,AMOCO CORP,DIAMOND SHAMRCK OFFSHOR  -LP,12.91699981689453,95.87100028991699,48008,.13473313,Directed
14251,1311,REDELERESOURCES,AMOCO,2911,15257,1992,AMOCO CO,RED EAGLE RESOURCES CP,0,65.72200059890747,143967,.1,Directed
15060,1311,CALLONPETROLEUMDE,AMOCO,2911,15257,1992,AMOCO CO,CALLON PETROLEUM CO/DE,1.902999982237816,27.43899989128113,143967,.069353841,Directed
15291,1311,HARVESTNATURALRESOURCES,TEXACO,2911,10482,1992,TEXACO INC,HARVEST NATURAL RESOURCES,5.479000210762024,15.76099991798401,68932,.34763023,Directed
20553,1311,SEARCHEXPLORATION,FINA,2911,1537,1992,FINA,SEARCH EXPLORATION INC,.1600000038743019,1.206999999471009,6772.445983886719,.13256007,Directed
