Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles
164607,,,0,3,3,0,3,3,13,0.146963,0.15584,4139,0,0
7912,,,1,0,1,1,0,1,14,0.12814,0.133644,0,0,0
161993,,,1,0,1,1,0,1,14,0.12814,0.133644,0,0,0
176248,,,0,1,1,0,1,1,14,0.115337,0.119206,0,0,0
1380,,,2,0,2,2,0,2,13,0.130366,0.136125,2070,0,0
65973,,,0,1,1,0,1,1,13,0.124564,0.128706,0,0,0
3949,,,3,0,3,3,0,3,12,0.142278,0.148813,4139,0,0
4503,,,21,0,21,21,0,21,10,0.212301,0.234443,100803.883435,0,0
5187,,,0,4,4,0,4,4,11,0.184845,0.198638,9337.527765,0,0
24625,,,2,0,2,2,0,2,12,0.156043,0.164011,2070,0,0
5581,,,0,2,2,0,2,2,11,0.184713,0.197753,1065.527765,0,0
8357,,,0,1,1,0,1,1,11,0.175137,0.185972,0,0,0
28338,,,0,2,2,0,2,2,11,0.16902,0.180496,2337.279669,0,0
14908,,,0,1,1,0,1,1,12,0.191458,0.20773,0,0,0
14087,,,2,0,2,2,0,2,12,0.156043,0.164011,2070,0,0
8873,,,1,0,1,1,0,1,14,0.116133,0.121501,0,0,0
12708,,,0,5,5,0,5,5,12,0.148416,0.157665,8345.315135,0,0
4844,,,3,0,3,3,0,3,13,0.136646,0.144069,2171.486905,0,0
8655,,,1,0,1,1,0,1,13,0.129244,0.134735,0,0,0
27199,,,1,0,1,1,0,1,13,0.129244,0.134735,0,0,0
22732,,,0,1,1,0,1,1,12,0.14407,0.150243,0,0,0
9589,,,1,0,1,1,0,1,13,0.129244,0.134735,0,0,0
23810,,,0,2,2,0,2,2,11,0.165813,0.175844,6204,0,0
3806,,,0,1,1,0,1,1,12,0.191458,0.20773,0,0,0
28286,,,0,1,1,0,1,1,12,0.191458,0.20773,0,0,0
9835,,,0,2,2,0,2,2,14,0.123834,0.130803,2070,0,0
8387,,,1,0,1,1,0,1,15,0.110195,0.114764,0,0,0
65006,,,0,1,1,0,1,1,1,1,1,0,0,0
109043,,,1,0,1,1,0,1,1,1,1,0,0,0
28456,,,0,2,2,0,2,2,11,0.184713,0.197753,1065.527765,0,0
12256,,,0,2,2,0,2,2,12,0.200601,0.219587,6305.834003,0,0
63919,,,34,0,34,34,0,34,13,0.192151,0.219627,58012.537206,0,0
6066,,,53,0,53,54,0,54,11,0.245292,0.281602,227515.418123,0.002903,4
8095,,,0,1,1,0,1,1,13,0.165073,0.173879,0,0,0
28712,,,0,1,1,0,1,1,14,0.152875,0.1616,0,0,0
14256,,,4,0,4,4,0,4,13,0.180448,0.195801,4727.888577,0,0
64549,,,0,1,1,0,1,1,12,0.149834,0.158147,0,0,0
143710,,,0,2,2,0,2,2,11,0.201048,0.216008,10189.891746,0,0
25160,,,0,1,1,0,1,1,14,0.11082,0.114758,0,0,0
5559,,,0,1,1,0,1,1,13,0.159063,0.171872,0,0,0
6502,,,14,0,14,14,0,14,12,0.189132,0.213386,20614.152632,0,0
5047,,,25,0,25,25,0,25,10,0.227233,0.255339,130612.808908,0,0
2497,,,0,4,4,0,4,4,13,0.194734,0.21368,16163.407259,0,0
23195,,,0,1,1,0,1,1,13,0.146921,0.155196,0,0,0
63495,,,0,1,1,0,1,1,11,0.175137,0.185972,0,0,0
2136,,,37,0,37,37,0,37,12,0.225476,0.259324,130094.885847,0.001502,1
4115,,,0,8,8,0,8,8,13,0.193497,0.214219,12816.249403,0,0
1318,,,7,0,7,7,0,7,12,0.180794,0.197232,8746.876137,0,0
116245,,,8,0,8,8,0,8,13,0.184318,0.202404,7010.287104,0,0
2146,,,13,0,13,13,0,13,13,0.183697,0.202405,24304.015323,0,0
148998,,,4,0,4,4,0,4,13,0.169671,0.183151,4261.220086,0,0
12206,,,13,0,13,13,0,13,13,0.186593,0.206364,20861.107677,0,0
3226,,,16,0,16,16,0,16,12,0.20987,0.235528,41069.307958,0.008333,1
12484,,,8,0,8,8,0,8,14,0.167787,0.184253,3423.673513,0,0
126136,,,4,0,4,4,0,4,14,0.167557,0.182603,410.656205,0,0
5218,,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0
4798,,,2,0,2,2,0,2,1,1,1,1,0,0
160343,,,0,1,1,0,1,1,2,0.6,0.666667,0,0,0
165247,,,0,1,1,0,1,1,11,0.175137,0.185972,0,0,0
65881,,,0,2,2,0,2,2,12,0.189012,0.208595,42.712625,0,0
5073,,,66,0,66,66,0,66,11,0.225182,0.266689,98962.327205,0.002797,6
17828,,,48,0,48,48,0,48,11,0.223361,0.258219,57499.84978,0.00266,3
115406,,,0,1,1,0,1,1,12,0.183811,0.201916,0,0,0
160475,,,0,1,1,0,1,1,14,0.157263,0.167895,0,0,0
163877,,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0
29609,,,0,1,1,0,1,1,12,0.155212,0.165746,0,0,0
63927,,,5,2,7,5,2,7,11,0.183713,0.20266,9600.43493,0,0
3362,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
29942,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
10793,,,1,1,2,1,1,2,12,0.200058,0.22952,1034.5,0,0
2390,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
9411,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
12785,,,1,1,2,1,1,2,12,0.200058,0.22952,1034.5,0,0
13864,,,0,2,2,0,2,2,12,0.165707,0.179073,251.133585,0,0
62655,,,1,1,2,1,1,2,12,0.200058,0.22952,387.287859,0,0
163579,,,0,2,2,0,2,2,12,0.200406,0.230284,827.508779,0,0
8815,,,5,0,5,5,0,5,12,0.183762,0.203433,2310.778516,0,0
29205,,,0,1,1,0,1,1,12,0.196994,0.212721,0,0,0
14382,,,0,1,1,0,1,1,12,0.169227,0.182096,0,0,0
29028,,,17,0,17,17,0,17,11,0.203678,0.228754,17145.394769,0,0
151161,,,0,2,2,0,2,2,14,0.145794,0.153786,400.563596,0,0
1045,,,5,0,5,5,0,5,14,0.155667,0.165733,9222.938369,0,0
3851,,,4,0,4,4,0,4,13,0.165826,0.178014,4885.429484,0,0
